model,city,T_in,T_out,tag,horizon,MAE,RMSE,MAPE,config
lstm,bj,12,48,,h1,13.0915,22.6293,28.37,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm""}"
lstm,bj,12,48,,h3,16.7120,29.7493,34.62,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm""}"
lstm,bj,12,48,,h6,20.9480,37.4802,44.51,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm""}"
lstm,bj,12,48,,h12,25.6968,45.0489,57.39,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm""}"
lstm,bj,12,48,,avg,29.0171,51.5415,62.95,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm""}"
gru,bj,12,48,,h1,13.2695,22.9969,27.86,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru""}"
gru,bj,12,48,,h3,16.9281,30.1079,35.36,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru""}"
gru,bj,12,48,,h6,21.1429,37.7362,44.48,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru""}"
gru,bj,12,48,,h12,25.8448,45.1999,56.41,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru""}"
gru,bj,12,48,,avg,29.0406,51.5821,61.22,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru""}"
